EC_protein,EC_accession,SE_protein,SE_accession
putative pyruvate formate lyase,b0823,glycyl radical enzyme,STM0843
putative pyruvate formate-lyase 2 activating enzyme PflC,b3952,[formate-C-acetyltransferase]-activating enzyme,STM4115
putative pyruvate formate-lyase activating enzyme YbiY,b0824,pyruvate formate lyase-activating protein,STM0844
putative pyruvate-flavodoxin oxidoreductase,b1378,putative pyruvate-flavodoxin oxidoreductase,STM1651
putative quinol monooxygenase YgiN,b3029,monooxygenase,STM3180
putative quinone oxidoreductase 1,b4051,quinone oxidoreductase,STM4245
putative recombination limiting protein RmuC,b3832,DNA recombination protein,STM3130
putative reductase YffB,b2471,Spx/MgsR family transcriptional regulator,STM2482
putative regulator,b0715,AbrB family transcriptional regulator,STM0729
putative ribosome assembly factor YggL,b2959,putative cytoplasmic protein,STM0383
putative ribosome biogenesis factor YjgA,b4234,hypothetical protein,STM0387
putative RNA-binding protein YbcJ,b0528,ribosome-associated protein,STM0541
putative RNA-binding protein YciO,b1267,putative translation factor,STM1720
putative RNA-guided DNA endonuclease InsQ,b1432,,
putative RNase adaptor protein YicC,b3644,YicC family protein,STM3735
putative S-adenosyl-L-methionine-dependent methyltransferase,b0213,putative SAM-dependent methyltransferase,STM4500
putative S-adenosylmethionine-dependent methyltransferase,b0210,SAM-dependent methyltransferase,STM0259
putative selenate reductase YnfE,b1587,,
putative selenate reductase YnfF,b1588,,
putative selenium transporter YedE,b1929,putative membrane component of transport system,STM1965
putative selenoprotein YdfZ,b1541,selenoprotein,STM1509
putative semialdehyde dehydrogenase Usg,b2319,putative aspartate-semialdehyde dehydrogenase,STM2369
putative serine protease YdgD,b1598,,
putative signal transduction protein (SH3 domain),b3055,putative SH3 domain protein,STM3203
putative solute:Na<sup>+</sup> symporter,b2410,putative Na+-dependent transporter,STM2425
putative stress response protein YjbJ,b4045,putative cytoplasmic protein,STM0383
"putative structural protein, ethanolamine utilization microcompartment",b2438,ethanolamine utilization protein,STM2460
"putative structural protein, ethanolamine utilization microcompartment",b2439,microcompartment protein,STM2456
putative succinate exporter YjjB,b4363,,
putative succinate exporter YjjP,b4364,putative membrane protein,STM4546
putative sugar kinase YegV,b2100,putative sugar kinase,STM2144
putative sulfatase YdeN,b1498,,
putative sulfoquinovose mutarotase YihR,b3879,aldose epimerase,STM4020
putative sulfoquinovose transporter,b3876,MFS transporter,STM2574
putative sulfurtransferase YedF,b1930,putative sulfur carrier protein,STM1966
putative sulfurtransferase YibN,b3611,putative rhodanese-related sulfurtransferases,STM3703
"putative tagatose-1,6-bisphosphate aldolase 2 chaperone",b2095,"D-tagatose-1,6-bisphosphate aldolase subunit",STM3257
putative transcriptional regulator BdcR,b4251,,
putative transcriptional regulator GcvR,b2479,transcriptional repressor of gcv operon,STM2490
putative transcriptional regulator SfsB,b3188,transcriptional regulator,STM2982
putative transcriptional regulator YebC,b1864,Probable transcriptional regulatory protein,STM1899
putative transcriptional regulator YeeN,b1983,putative cytoplasmic protein,STM0383
putative transcriptional regulator YgeH,b2852,,
putative transcriptional regulator YqeI,b2847,,
putative transcriptional regulator YtfH,b4212,putative transcriptional regulator,STM3696
putative transferase CaiE,b0035,phenylacetic acid degradation protein,STM0069
putative transferase YbhK,b0780,putative gluconeogenesis factor,STM0801
putative translation factor,b1282,putative translation factor,STM1720
putative transport protein AraJ,b0396,MFS transporter,STM2574
putative transport protein YajR,b0427,putative MFS family transporter,STM0436
putative transport protein YbjL,b0847,,
putative transport protein YdcO,b1433,,
putative transport protein YfeO,b2389,,
putative transport protein YhgE,b3402,DUF4153 domain-containing protein,STM3499
putative transport protein YidE,b3685,transporter,STM1737
putative transport protein YrbG,b3196,calcium/sodium antiporter,STM3314
putative transporter HsrA,b3754,MFS transporter,STM2574
putative transporter ProY,b0402,proline-specific permease,STM0400
putative transporter RarD,b3819,EamA family transporter,STM3955
putative transporter TsgA,b3364,MFS transporter,STM2574
putative transporter YaaJ,b0007,sodium:alanine symporter family protein,STM0006
putative transporter YaaU,b0045,MFS transporter,STM2574
putative transporter YbaL,b0478,Kef family K(+) transporter,STM0492
putative transporter YbiR,b0818,anion transporter,STM0836
putative transporter YcaD,b0898,MFS transporter,STM2574
putative transporter YcaM,b0899,amino acid permease,STM3930
putative transporter YccS,b0960,TIGR01666 family membrane protein,STM1073
putative transporter YdfJ,b1543,putative transport protein,STM0562
putative transporter YdhK,b1645,,
putative transporter YdhP,b1657,,
putative transporter YdiK,b1688,putative permease,STM4513
putative transporter YdiN,b1691,MFS transporter,STM2574
putative transporter YebQ,b1828,,
putative transporter YedA,b1959,drug/metabolite exporter,STM1990
putative transporter YeeA,b2008,putative inner membrane protein,STM1849
putative transporter YegT,b2098,MFS transporter,STM2574
putative transporter YfaV,b2246,MFS transporter,STM2574
putative transporter YfbS,b2292,SLC13 family permease,STM2333
putative transporter YfcA,b2327,hypothetical protein,STM0387
putative transporter YfcC,b2298,putative integral membrane protein,STM2339
putative transporter YfcJ,b2322,,
putative transporter YfgO,b2493,AI-2E family transporter,STM2493
putative transporter YhfK,b3358,putative inner membrane protein,STM1849
putative transporter YhhS,b3473,putative MFS family transport protein,STM3581
putative transporter YhhT,b3474,permease,STM4268
putative transporter YhjD,b3522,putative tRNA-processing ribonuclease,STM3608
putative transporter YhjE,b3523,MFS transporter,STM2574
putative transporter YhjV,b3539,transporter,STM1737
putative transporter YhjX,b3547,,
putative transporter YicL,b3660,putative permease,STM4513
putative transporter YidK,b3679,,
putative transporter YjcE,b4065,Na+/H+ antiporter,STM4269
putative transporter YjeM,b4156,glutamate/gamma-aminobutyrate family transporter,STM4345
putative transporter YjiJ,b4332,MFS transporter,STM2574
putative transporter YnfA,b1582,UPF0060 membrane protein,STM1504
putative transporter YnfM,b1596,putative MFS familty transport protein,STM1486
putative transporter YqeG,b2845,,
putative tricarboxylate transporter,b0770,,
putative tRNA/rRNA methyltransferase YjtD,b4403,tRNA/rRNA methyltransferase,STM4600
putative two-component system connector protein AriR,b1166,,
putative xyloside transporter YicJ,b3657,glycoside-pentoside-hexuronide family transporter,STM3750
putative zinc-binding dehydrogenase RspB,b1580,Zn-dependent oxidoreductase,STM1506
putative Zn<sup>2+</sup>-dependent alcohol dehydrogenase YbdR,b0608,glutathione-dependent formaldehyde dehydrogenase,STM0615
putrescine ABC exporter ATP binding protein SapD,b1291,,
putrescine ABC exporter ATP binding protein SapF,b1290,,
putrescine ABC exporter membrane protein SapC,b1292,,
putrescine ABC exporter membrane subunit SapB,b1293,,
putrescine ABC transporter ATP binding subunit,b0855,,
putrescine ABC transporter membrane subunit PotH,b0856,,
putrescine ABC transporter membrane subunit PotI,b0857,,
putrescine ABC transporter periplasmic binding protein,b0854,,
putrescine aminotransferase,b3073,putative acetylornithine aminotransferase,STM3218
putrescine transporter PotE,b0692,putrescine-ornithine antiporter,STM0700
putrescine:H+ symporter PlaP,b2014,putative APC family amino acid transport protein,STM2068
pyridine nucleotide transhydrogenase subunit &alpha;,b1603,NAD(P) transhydrogenase subunit alpha,STM1479
pyridine nucleotide transhydrogenase subunit &beta;,b1602,NAD(P) transhydrogenase subunit beta,STM1480
pyridoxal kinase 2,b1636,pyridoxal kinase,STM1450
"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase",b0766,pyridoxal phosphatase,STM0784
pyridoxine 5'-phosphate synthase,b2564,pyridoxine 5'-phosphate synthase,STM2578
pyridoxine/pyridoxal/pyridoxamine kinase,b2418,bifunctional pyridoxal kinase/hydroxymethylpyrimidine kinase,STM2435
pyridoxine/pyridoxamine 5'-phosphate oxidase,b1638,pyridoxamine 5'-phosphate oxidase,STM1448
pyrimidine 5'-nucleotidase YjjG,b4374,putative haloacid dehalogenase-like hydrolase,STM4559
pyrimidine deoxynucleotide diphosphatase NudI,b2251,nucleoside triphosphatase,STM2295
pyrimidine-specific ribonucleoside hydrolase RihA,b0651,pyrimidine-specific ribonucleoside hydrolase,STM0661
pyrroline-5-carboxylate reductase,b0386,pyrroline-5-carboxylate reductase,STM0386
pyrroloquinoline quinone outer membrane transporter,b1451,TonB-dependent receptor,STM1587
pyruvate dehydrogenase E1 component,b0114,pyruvate dehydrogenase E1 component,STM0152
pyruvate dehydrogenase E2 subunit,b0115,"pyruvate dehydrogenase, E2 component",STM0153
pyruvate formate-lyase,b0903,formate C-acetyltransferase,STM0973
pyruvate formate-lyase activating enzyme,b0902,pyruvate formate lyase activating enzyme 1,STM0970
pyruvate kinase 1,b1676,pyruvate kinase,STM1378
pyruvate kinase 2,b1854,pyruvate kinase,STM1378
pyruvate oxidase,b0871,pyruvate oxidase,STM0935
pyruvate transporter CstA,b0598,carbon starvation protein A,STM0600
pyruvate:H<sup>+</sup> symporter,b4354,carbon starvation protein A,STM0600
Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,b1564,bifunctional antitoxin/transcriptional repressor,STM4449
Qin prophage; cold shock-like protein CspI,b1552,,
Qin prophage; DUF2514 domain-containing protein RzpQ,b1553,,
Qin prophage; DUF3950 domain-containing protein YnfO,b4533,,
Qin prophage; mRNA interferase toxin RelE,b1563,,
Qin prophage; protein YdfU,b1560,,
Qin prophage; putative antitermination protein Q,b1559,,
Qin prophage; putative prophage DNA-packaging protein NohA,b1548,,
Qin prophage; putative prophage side tail fiber protein StfQ,b1547,,
"quercetin 2,3-dioxygenase",b3439,"quercetin 2,3-dioxygenase",STM0951
queuosine precursor transporter,b3471,hypothetical protein,STM0387
quinate/shikimate dehydrogenase,b1692,quinate/shikimate dehydrogenase,STM1359
quinolinate phosphoribosyltransferase (decarboxylating),b0109,nicotinate-nucleotide diphosphorylase,STM0145
quinolinate synthase,b0750,quinolinate synthase,STM0756
quinone reductase,b3713,putative oxidoreductase,STM1462
quinone-dependent D-lactate dehydrogenase,b2133,quinone-dependent D-lactate dehydrogenase,STM2167
quinoprotein glucose dehydrogenase,b0124,pyrroloquinoline quinone-dependent dehydrogenase,STM0169
Rac prophage; DUF1376 domain-containing protein YdaU,b1359,,
"Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific",b1350,,
Rac prophage; putative ATP-binding protein YdaV,b1360,,
Rac prophage; putative integrase,b1345,,
Rac prophage; putative tail fiber assembly protein TfaR,b1373,,
Rac prophage; zinc-binding protein,b4526,,
RadC-like JAB domain-containing protein YicR,b3638,hypothetical protein,STM0387
radiation resistance protein YbgI,b0710,GTP cyclohydrolase 1 type 2 homolog,STM0711
radical SAM family oxidoreductase YhcC,b3211,TIGR01212 family radical SAM protein,STM3329
radical SAM superfamily protein YgiQ,b4469,YgiQ family radical SAM protein,STM3168
rare lipoprotein RlpA,b0633,rare lipoprotein A,STM0638
RcdA,b0846,,
RcsD phosphotransferase,b2216,phosphotransferase,STM2269
RecA inhibitor RecX,b2698,recombination regulator,STM2828
recombination mediator protein RecF,b3700,DNA replication/repair protein,STM3836
recombination mediator protein RecO,b2565,DNA repair protein,STM4496
recombination mediator protein RecR,b0472,recombination protein,STM0486
recombination-promoting nuclease RpnB,b2305,,
redox enzyme maturation protein DmsD,b1591,DMSO reductase maturation protein,STM1495
redox-responsive ATPase YchF,b1203,redox-regulated ATPase,STM1784
reduced ferredoxin,b2525,ISC system 2Fe-2S type ferredoxin,STM2538
reduced glutaredoxin 1,b0849,glutaredoxin,STM0872
reduced glutaredoxin 2,b1064,glutaredoxin 2,STM1165
reduced glutaredoxin 3,b3610,glutaredoxin 3,STM3702
reduced thioredoxin 1,b3781,thioredoxin,STM3915
reduced thioredoxin 2,b2582,thioredoxin,STM3915
regulator of biofilm formation,b1060,transcriptional regulator,STM2982
regulator of biofilm formation,b0836,transcriptional regulator,STM2982
regulator of CsrB and CsrC decay,b3252,RNase E specificity factor,STM3375
regulator of FtsH protease,b4174,FtsH protease regulator,STM4363
regulator of FtsH protease,b4175,protease modulator,STM4364
regulator of KefC-mediated potassium transport and quinone oxidoreductase,b0046,glutathione-regulated potassium-efflux system ancillary protein,STM3458
regulator of RpoS,b1235,two-component system response regulator,STM1475
regulator of sigma D,b3995,anti-RNA polymerase sigma 70 factor,STM4165
regulator of the transcriptional regulator FhlA,b2725,transcriptional regulator,STM2982
regulatory ATPase RavA,b3746,ATPase,STM3879
replication-associated recombination protein A,b0892,recombination factor protein,STM0962
replicative DNA helicase,b4052,putative replicative DNA helicase,STM4246
RffC,b3790,lipopolysaccharide biosynthesis protein,STM2090
rhamnose/lyxose:H<sup>+</sup> symporter,b3907,rhamnose/proton symporter,STM4050
rhamnulokinase,b3904,rhamnulokinase,STM4047
rhamnulose-1-phosphate aldolase,b3902,rhamnulose-1-phosphate aldolase,STM4045
rhomboid protease GlpG,b3424,rhomboid family serine protease,STM3524
ribbon-helix-helix domain-containing protein YbfE,b0685,LexA regulated protein,STM0695
riboflavin synthase,b1662,riboflavin synthase subunit alpha,STM1426
ribokinase,b3752,,
ribonuclease BN,b2268,ribonuclease Z,STM2313
ribonuclease E,b1084,ribonuclease E,STM1185
ribonuclease E inhibitor protein A,b3929,ribonuclease E activity regulator,STM4089
ribonuclease E inhibitor protein B,b4255,ribonuclease E inhibitor B,STM4470
ribonuclease H-like domain-containing nuclease,b2949,putative pre-16S rRNA nuclease,STM3097
ribonuclease HI,b0214,ribonuclease HI,STM0263
ribonuclease T,b1652,ribonuclease T,STM1434
ribonucleoside hydrolase RihC,b0030,ribonucleoside hydrolase,STM0051
ribonucleoside-diphosphate reductase 1 subunit &alpha;,b2234,ribonucleoside-diphosphate reductase 1 subunit alpha,STM2277
ribonucleoside-diphosphate reductase 1 subunit &beta;,b2235,ribonucleotide-diphosphate reductase 1 subunit beta,STM2278
ribonucleoside-diphosphate reductase 2 subunit &alpha;,b2675,ribonucleotide-diphosphate reductase subunit alpha,STM2807
ribonucleoside-diphosphate reductase 2 subunit &beta;,b2676,nicotinamide-nucleotide amidase,STM2830
ribose ABC transporter ATP binding subunit,b3749,D-ribose ABC transporter substrate-binding protein,STM3884
ribose ABC transporter membrane subunit,b3750,D-ribose ABC transporter substrate-binding protein,STM3884
ribose ABC transporter periplasmic binding protein,b3751,D-ribose ABC transporter substrate-binding protein,STM3884
ribose-5-phosphate isomerase A,b2914,ribose 5-phosphate isomerase A,STM3063
ribose-phosphate diphosphokinase,b1207,ribose-phosphate pyrophosphokinase,STM1780
ribosomal protein L11 methyltransferase,b3259,ribosomal protein L11 methyltransferase,STM3383
ribosomal protein L3 <i>N</i><sup>5</sup>-glutamine methyltransferase,b2330,ribosomal protein L3 N(5)-glutamine methyltransferase,STM2385
ribosomal protein S12 methylthiotransferase accessory factor YcaO,b0905,ribosomal protein S12 methylthiotransferase accessory factor,STM0975
ribosomal protein S12 methylthiotransferase RimO,b0835,ribosomal protein S12 methylthiotransferase,STM0852
ribosomal protein S6 modification protein,b0852,ribosomal protein S6 modification protein,STM0875
ribosomal silencing factor RsfS,b0637,ribosome silencing factor,STM0642
ribosomal-protein-L12-serine <i>N</i>-acetyltransferase,b1427,ribosomal protein L7/L12-serine acetyltransferase,STM1611
ribosomal-protein-S5-alanine N-acetyltransferase,b1066,methyl-accepting chemotaxis protein II,STM4533
ribosome assembly factor YhbY,b3180,putative RNA-binding protein,STM3298
ribosome association toxin RatA,b2619,putative outer membrane protein,PSLT015
ribosome hibernation-promoting factor,b3203,ribosomal subunit interface protein,STM2665
ribosome maturation factor RimM,b2608,ribosome maturation factor,STM2675
ribosome maturation factor RimP,b3170,putative cytoplasmic protein,STM0383
ribosome modulation factor,b0953,DNA restriction (DNA helicase),STM0358
ribosome rescue factor HflX,b4173,GTPase,STM4362
ribosome rescue factor SmrB,b2331,hypothetical protein,STM0387
ribosome small subunit-dependent GTPase A,b4161,putative GTPase,STM4349
ribosome- and membrane-associated DUF883 domain-containing protein YqjD,b3098,putative inner membrane protein,STM1849
ribosome-associated ATPase,b3486,putative ABC-type multidrug transport system,STM3586
ribosome-associated inhibitor A,b2597,ribosomal subunit interface protein,STM2665
ribosome-associated protein Sra,b1480,30S ribosomal subunit S22,STM1565
ribosome-dependent mRNA interferase toxin HigB,b3083,,
ribosome-dependent mRNA interferase toxin YafQ,b0225,mRNA interferase,STM3516
ribosome-recycling factor,b0172,ribosome recycling factor,STM0219
ribulokinase,b0063,ribulokinase,STM0103
ribulose-phosphate 3-epimerase,b3386,ribulose-phosphate 3-epimerase,STM3483
"RNA 2',3'-cyclic phosphodiesterase",b0147,2'-5' RNA ligase,STM0188
RNA 3'-terminal phosphate cyclase,b4475,RNA 3'-terminal-phosphate cyclase,STM3518
RNA chaperone ProQ,b1831,RNA chaperone,STM1846
RNA decapping hydrolase,b3996,NADH pyrophosphatase,STM4166
RNA polymerase sigma factor FliA,b1922,RNA polymerase sigma factor,STM1956
RNA polymerase sigma factor RpoD,b3067,RNA polymerase sigma factor,STM1956
RNA polymerase sigma factor RpoE,b2573,RNA polymerase sigma factor,STM1956
RNA polymerase sigma factor RpoH,b3461,DNA-invertase,STM2772
RNA polymerase sigma factor RpoN,b3202,RNA polymerase factor sigma-54,STM3320
RNA polymerase sigma factor RpoS,b2741,RNA polymerase sigma factor,STM1956
RNA polymerase subunit &alpha;,b3295,DNA-directed RNA polymerase subunit alpha,STM3415
RNA polymerase subunit &beta;,b3987,DNA-directed RNA polymerase subunit beta,STM4153
RNA polymerase subunit &beta;',b3988,DNA-directed RNA polymerase subunit beta',STM4154
RNA polymerase subunit &omega;,b3649,DNA-directed RNA polymerase subunit omega,STM3741
RNA polymerase-binding ATPase and RNAP recycling factor,b0059,RNA polymerase-binding ATPase,STM0096
RNA polymerase-binding transcription factor DksA,b0145,RNA polymerase-binding protein,STM0186
RNA pyrophosphohydrolase,b2830,RNA pyrophosphohydrolase,STM3004
RNA-binding protein Hfq,b4172,RNA chaperone,STM1846
RNA-binding protein YhgF,b3407,putative RNase R,STM3504
RNA-dependent NTPase HrpB,b0148,ATP-dependent helicase,STM1821
RNA-splicing ligase,b3421,putative cytoplasmic protein,STM0383
RNase adaptor protein RapZ,b3205,RNase adaptor,STM3323
RNase AM,b1266,phosphatase,STM1721
RNase D,b1804,RNase D,STM1817
RNase G,b3247,ribonuclease E/G,STM3370
RNase HII,b0183,ribonuclease HII,STM0230
RNase I,b0611,ribonuclease I,STM0617
RNase II,b1286,exoribonuclease II,STM1702
RNase III,b2567,ribonuclease III,STM2581
RNase P protein component,b3704,ribonuclease P protein component,STM3840
RNase R,b4179,ribonuclease R,STM4368
RutC family protein YjgH,b4248,,
RutC family protein YoaB,b1809,putative translation initiation inhibitor,STM1822
S49 peptidase family protein,b1272,protease,STM1716
scaffold protein for iron-sulfur cluster assembly,b2529,scaffold protein for iron-sulfur cluster assembly,STM2542
Sec translocon accessory complex subunit SecD,b0408,protein-export membrane protein,STM0407
Sec translocon accessory complex subunit SecF,b0409,protein-export membrane protein,STM0407
Sec translocon accessory complex subunit YajC,b0407,preprotein translocase subunit,STM0406
Sec translocon subunit SecE,b3981,preprotein translocase subunit,STM0406
Sec translocon subunit SecG,b3175,preprotein translocase subunit,STM0406
Sec translocon subunit SecY,b3300,preprotein translocase subunit,STM0406
SecA translation regulator,b0097,putative inner membrane protein,STM1849
secreted protein YebF,b1847,Protein,STM3404
SecY-interacting protein,b2793,SecY-interacting protein,STM2967
Sel1 repeat-containing protein YbeQ,b0644,putative TPR repeat protein,STM2007
Sel1 repeat-containing protein YjcO,b4078,putative TPR repeat protein,STM2007
"selenide, water dikinase",b1764,selenophosphate synthase,STM1297
selenocysteine synthase,b3591,selenocysteine synthase,STM3768
selenocysteyl-tRNA-specific translation elongation factor,b3590,selenocysteinyl-tRNA-specific translation elongation factor,STM3682
sensor histidine kinase ArcB,b3210,two-component sensor histidine kinase,STM2958
sensor histidine kinase BaeS,b2078,two-component system sensor histidine kinase,STM4304
sensor histidine kinase BarA,b2786,two-component sensor histidine kinase,STM2958
sensor histidine kinase BasS,b4112,sensory kinase in two-component regulatory system with,STM4291
sensor histidine kinase CpxA,b3911,,
sensor histidine kinase CusS,b0570,,
sensor histidine kinase DcuS,b4125,two-component system sensor histidine kinase,STM4304
sensor histidine kinase DpiB,b0619,histidine kinase,STM0053
sensor histidine kinase EnvZ,b3404,two-component system sensor histidine kinase,STM4304
sensor histidine kinase HprS,b1968,,
sensor histidine kinase KdpD,b0695,two-component system sensor histidine kinase,STM4304
sensor histidine kinase NarQ,b2469,two-component system sensor histidine kinase,STM4304
sensor histidine kinase NarX,b1222,two-component system sensor histidine kinase,STM4304
sensor histidine kinase PhoQ,b1129,,
sensor histidine kinase PhoR,b0400,two-component system sensor histidine kinase,STM4304
sensor histidine kinase QseC,b3026,two-component system sensor histidine kinase,STM4304
sensor histidine kinase RstB,b1609,,
sensor histidine kinase TorS,b0993,TMAO reductase system sensor histidine kinase/response regulator,STM3826
sensor histidine kinase UhpB,b3668,,
sensor histidine kinase ZraS,b4003,sensory histidine kinase,STM4173
sensor lipoprotein RcsF,b0196,Rcs stress response system protein,STM0244
sensory histidine kinase CreC,b4399,two-component system sensor histidine kinase,STM4304
serine acetyltransferase,b3607,serine O-acetyltransferase,STM3699
serine endoprotease,b3235,stress sensor serine endopeptidase,STM3349
serine hydroxymethyltransferase,b2551,serine hydroxymethyltransferase,STM2555
serine protease inhibitor ecotin,b2209,ecotin,STM2262
serine&mdash;tRNA ligase,b0893,serine--tRNA ligase,STM0963
serine/threonine:Na+ symporter,b3089,serine/threonine transporter,STM3225
shikimate dehydrogenase,b3281,shikimate dehydrogenase,STM3401
shikimate kinase 1,b3390,shikimate kinase I,STM3487
shikimate kinase 2,b0388,shikimate kinase II,STM0388
shikimate:H+ symporter,b1981,,
sialic acid transporter NanX,b4279,,
signal peptidase I,b2568,S26 family signal peptidase,STM2582
signal recognition particle protein component,b2610,4.5S-RNP protein,STM2677
signal recognition particle receptor,b3464,signal recognition particle-docking protein,STM3571
signal transduction protein PmrD,b2259,signal transduction protein,STM2304
signaling pathway modulator ZraP,b4002,zinc resistance protein,STM4172
SirB family protein YchQ,b1213,,
siroheme synthase,b3368,uroporphyrinogen-III C-methyltransferase subunit,STM3477
site-specific recombinase,b2894,site-specific tyrosine recombinase,STM3044
site-specific tyrosine recombinase,b3811,site-specific tyrosine recombinase,STM3044
Slp family lipoprotein YeaY,b1806,,
small conductance mechanosensitive channel MscS,b2924,mechanosensitive ion channel protein,STM4102
small conductance mechanosensitive channel YnaI,b1330,mechanosensitive ion channel protein,STM4102
small heat shock protein IbpA,b3687,heat-shock protein,STM3808
small heat shock protein IbpB,b3686,heat-shock protein,STM3808
soluble Cu<sup>+</sup> chaperone,b0484,Cu+ exporting ATPase,STM0498
soluble lytic murein transglycosylase,b4392,soluble lytic murein transglycosylase,STM4582
soluble pyridine nucleotide transhydrogenase,b3962,NAD(P)(+) transhydrogenase,STM4126
sorbitol-6-phosphate 2-dehydrogenase,b2705,sorbitol-6-phosphate 2-dehydrogenase,STM2835
sorbitol-specific PTS enzyme IIA component,b2704,,
sorbitol-specific PTS enzyme IIBC<sub>1</sub> component,b2703,PTS glucitol/sorbitol transporter subunit IIC,STM2832
sorbitol-specific PTS enzyme IIC<sub>2</sub> component,b2702,PTS glucitol/sorbitol transporter subunit IIC,STM2832
SoxR [2Fe-2S] reducing system protein RsxA,b1627,electron transport complex subunit,STM1454
SoxR [2Fe-2S] reducing system protein RsxB,b1628,electron transport complex subunit,STM1454
SoxR [2Fe-2S] reducing system protein RsxC,b1629,electron transport complex subunit,STM1454
SoxR [2Fe-2S] reducing system protein RsxD,b1630,electron transport complex subunit,STM1454
SoxR [2Fe-2S] reducing system protein RsxE,b1632,electron transport complex subunit,STM1454
SoxR [2Fe-2S] reducing system protein RsxG,b1631,electron transport complex subunit,STM1454
specificity factor for ClpA-ClpP chaperone-protease complex,b0881,ATP-dependent Clp protease adapter,STM0944
spermidine <i>N</i>-acetyltransferase,b1584,spermidine acetyltransferase,STM1502
spermidine preferential ABC transporter ATP binding subunit,b1126,,
spermidine preferential ABC transporter membrane subunit PotB,b1125,,
spermidine preferential ABC transporter membrane subunit PotC,b1124,,
spermidine preferential ABC transporter periplasmic binding protein,b1123,,
spermidine synthase,b0121,putrescine aminopropyltransferase,STM0166
ssDNA-binding protein,b4059,ssDNA-binding protein,STM4256
ssDNA-specific exonuclease RecJ,b2892,single-stranded-DNA-specific exonuclease,STM3042
SsrA-binding protein,b2620,SsrA-binding protein,STM2688
stationary phase mismatch/uracil DNA glycosylase,b3068,double-stranded uracil-DNA glycosylase,STM3212
stationary phase-inducible protein CsiE,b2535,stationary phase inducible protein,STM2553
stress response kinase A,b3859,stress response serine/threonine protein kinase,STM3996
stress-induced alternate pyruvate formate-lyase subunit,b2579,autonomous glycyl radical cofactor,STM2646
stress-induced bacterial acidophilic repeat motifs-containing protein YciG,b1259,putative cytoplasmic protein,STM0383
stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,b4518,stress-induced protein,STM1121
stress-induced protein,b1205,stress-induced protein,STM1121
stress-induced protein,b1953,stress-induced protein,STM1121
stringent response modulator YtfK,b4217,putative cytoplasmic protein,STM0383
stringent starvation protein A,b3229,stringent starvation protein A,STM3342
subunit of E1(0) component of 2-oxoglutarate dehydrogenase,b0726,"2-oxoglutarate decarboxylase, thiamine requiring, subunit",STM0736
succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad,b1525,putative succinate-semialdehyde dehydrogenase,STM1524
succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD,b2661,succinate-semialdehyde dehydrogenase I,STM2791
"succinate:quinone oxidoreductase, FAD binding protein",b0723,succinate dehydrogenase flavoprotein subunit,STM0734
"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",b0724,"succinate dehydrogenase, Fe-S protein",STM0735
"succinate:quinone oxidoreductase, membrane protein SdhC",b0721,"succinate dehydrogenase, cytochrome <i>b</i><sub>556</sub> subunit",STM0732
"succinate:quinone oxidoreductase, membrane protein SdhD",b0722,"succinate dehydrogenase, hydrophobic membrane anchor protein",STM0733
succinyl-CoA synthetase subunit &alpha;,b0729,succinate--CoA ligase subunit alpha,STM0739
succinyl-CoA synthetase subunit &beta;,b0728,succinate--CoA ligase subunit beta,STM0738
succinyl-diaminopimelate desuccinylase,b2472,succinyl-diaminopimelate desuccinylase,STM2483
succinylglutamate desuccinylase,b1744,succinylglutamate desuccinylase,STM1307
succinylornithine transaminase,b1748,aspartate aminotransferase family protein,STM1303
sugar exporter SetB,b2170,sugar efflux transporter,STM2207
sugar fermentation stimulation protein A,b0146,sugar fermentation stimulation protein,STM0187
sugar phosphatase YbiV,b0822,,
sugar phosphatase YidA,b3697,sugar-phosphatase,STM0840
sulfate adenylyltransferase subunit 1,b2751,sulfate adenylyltransferase subunit,STM2934
sulfate adenylyltransferase subunit 2,b2752,sulfate adenylyltransferase small subunit,STM2935
sulfate/thiosulfate ABC transporter ATP binding subunit,b2422,,
sulfate/thiosulfate ABC transporter inner membrane subunit CysU,b2424,sulfate ABC transporter permease subunit,STM2442
sulfate/thiosulfate ABC transporter inner membrane subunit CysW,b2423,,
sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,b3917,,
sulfate:H+ symporter,b2413,sulfate transporter,STM2429
"sulfite reductase, flavoprotein subunit",b2764,sulfite reductase [NADPH] flavoprotein subunit alpha,STM2948
"sulfite reductase, hemoprotein subunit",b2763,sulfite reductase subunit beta,STM2947
sulfoquinovose isomerase,b3880,sulfoquinovose isomerase,STM4021
sulfoquinovosidase,b3878,sulfoquinovosidase,STM4019
sulfur acceptor protein CsdE,b2811,cysteine desulfurase sulfur acceptor subunit,STM2985
sulfur carrier protein SufE,b1679,cysteine desufuration protein,STM1374
sulfur carrier protein ThiS,b4407,a [ThiS sulfur-carrier protein],
